,largev1,largev2,diffv1v2
number_of_requests,mean_request,mean_request,
1,1.0388,0.6241,0.4147
3,212.9198,0.7864,212.1334
5,2.019,1.204,0.815
7,2.422,1.722,0.7
9,2.958,2.308,0.65
11,3.498,2.021,1.477
13,4.676,3.586,1.09
15,5.311,3.816,1.495
17,5.607,4.27,1.337
19,7.148,4.783,2.365
21,6.92,5.336,1.584
23,9.213,6.254,2.959
25,11.318,7.079,4.239
27,7.012,7.292,-0.28
29,9.393,8.476,0.917
31,12.534,8.482,4.052
33,13.346,8.778,4.568
35,15.065,8.638,6.427
37,13.098,9.43,3.668
39,15.541,11.009,4.532
41,15.473,11.869,3.604
43,16.496,12.447,4.049
45,16.426,12.642,3.784
47,16.878,13.783,3.095
49,16.725,14.605,2.12
51,18.404,14.437,3.967
53,18.111,15.814,2.297
55,19.152,15.294,3.858
57,17.797,14.945,2.852
59,21.672,15.63,6.042
61,20.868,17.08,3.788
63,19.251,17.538,1.713
65,17.378,18.08,-0.702
67,20.348,18.695,1.653
69,18.909,18.755,0.154
71,20.665,18.335,2.33
73,18.8,17.504,1.296
75,18.263,18.508,-0.245
77,18.883,19.059,-0.176
79,25.862,19.032,6.83
81,24.33,19.835,4.495
83,26.95,15.533,11.417
85,25.793,17.624,8.169
87,27.76,14.957,12.803
89,27.631,21.088,6.543
91,27.012,11.223,15.789
93,29.124,22.522,6.602
95,28.648,24.513,4.135
97,26.796,19.105,7.691
99,28.286,22.002,6.284
101,26.863,24.605,2.258
103,28.743,22.546,6.197
105,29.768,25.036,4.732
107,25.717,21.285,4.432
109,34.798,24.746,10.052
111,32.744,29.362,3.382
113,40.929,21.38,19.549
115,38.845,21.004,17.841
117,45.373,26.595,18.778
119,35.126,22.552,12.574
121,37.198,25.915,11.283
123,41.239,17.71,23.529
125,37.855,24.4,13.455
127,35.628,27.025,8.603
129,39.282,36.401,2.881
131,37.029,27.38,9.649
133,46.175,24.935,21.24
135,41.625,35.892,5.733
137,45.781,22.41,23.371
139,46.395,23.879,22.516
141,43.863,32.022,11.841
143,40.031,31.964,8.067
145,49.744,34.359,15.385
147,47.045,21.114,25.931
149,53.65,27.469,26.181
151,51.081,29.807,21.274
153,53.193,32.748,20.445
155,47.429,37.614,9.815
157,55.042,34.854,20.188
159,58.079,28.248,29.831
161,58.04,23.01,35.03
163,44.747,27.133,17.614
165,56.467,34.391,22.076
167,52.894,38.952,13.942
169,60.666,35.219,25.447
171,64.724,38.321,26.403
173,50.116,35.513,14.603
175,58.131,30.154,27.977
177,50.755,32.469,18.286
179,64.036,44.022,20.014
181,68.015,32.84,35.175
183,65.991,36.399,29.592
185,59.962,37.041,22.921
187,65.487,35.835,29.652
189,72.788,38.507,34.281
191,90.628,33.337,57.291
193,66.252,27.774,38.478
195,65.541,42.01,23.531
197,81.125,32.574,48.551
199,83.53,41.186,42.344
201,75.191,51.421,23.77
203,81.496,38.798,42.698
205,100.576,37.88,62.696
207,84.091,41.23,42.861
209,78.313,35.937,42.376
211,92.833,47.841,44.992
213,92.577,41.898,50.679
215,104.549,40.248,64.301
217,87.875,40.759,47.116
219,94.821,46.114,48.707
221,106.432,49.959,56.473
223,84.291,52.273,32.018
225,90.148,44.875,45.273
227,91.89,39.304,52.586
229,112.586,41.367,71.219
231,110.246,58.79,51.456
233,129.138,43.212,85.926
235,112.209,44.105,68.104
237,103.676,56.202,47.474
239,113.809,52.823,60.986
241,112.754,50.959,61.795
243,104.21,56.851,47.359
245,116.979,60.714,56.265
247,106.619,46.695,59.924
249,128.215,65.776,62.439
251,101.934,52.314,49.62
253,120.067,50.417,69.65
255,103.699,52.916,50.783
257,117.236,64.446,52.79
259,144.24,49.016,95.224
261,108.091,56.587,51.504
263,114.9,42.954,71.946
265,175.761,63.483,112.278
267,173.13,48.727,124.403
269,122.739,68.138,54.601
271,95.24,66.517,28.723
273,113.641,68.57,45.071
275,104.319,54.637,49.682
277,98.217,70.053,28.164
279,99.15,41.221,57.929
281,114.032,69.499,44.533
283,109.874,47.799,62.075
285,113.49,73.137,40.353
287,100.147,70.972,29.175
289,125.624,62.361,63.263
291,120.619,72.17,48.449
293,122.52,61.593,60.927
295,146.47,57.32,89.15
297,113.014,67.175,45.839
299,120.51,67.54,52.97
301,119.595,54.064,65.531
303,111.873,69.192,42.681
305,113.727,62.979,50.748
307,172.539,63.225,109.314
309,118.747,70.348,48.399
311,111.654,61.722,49.932
313,111.846,81.745,30.101
315,100.452,73.683,26.769
317,124.205,75.362,48.843
319,114.242,70.143,44.099
321,116.273,60.771,55.502
323,133.042,62.534,70.508
325,124.326,64.588,59.738
327,126.901,64.689,62.212
329,118.257,59.059,59.198
331,116.373,56.963,59.41
333,161.909,65.184,96.725
335,151.023,60.943,90.08
337,122.189,67.345,54.844
339,139.573,88.659,50.914
341,164.491,59.045,105.446
343,129.99,71.024,58.966
345,151.378,72.508,78.87
347,115.652,71.463,44.189
349,133.135,73.742,59.393
351,138.904,66.979,71.925
353,172.786,54.926,117.86
355,130.663,68.59,62.073
357,135.446,73.64,61.806
359,225.431,66.849,158.582
361,134.553,68.511,66.042
363,174.535,73.422,101.113
365,174.849,78.134,96.715
367,169.247,71.857,97.39
369,189.547,64.435,125.112
371,148.491,65.921,82.57
373,152.821,69.209,83.612
375,153.006,64.044,88.962
377,140.503,68.693,71.81
379,142.886,70.918,71.968
381,142.789,73.946,68.843
383,115.491,70.243,45.248
385,143.501,70.18,73.321
387,137.46,82.783,54.677
389,154.931,73.608,81.323
391,208.86,65.255,143.605
393,157.029,73.617,83.412
395,144.296,80.678,63.618
397,179.218,83.361,95.857
399,176.863,69.333,107.53
401,136.399,75.736,60.663
403,179.26,83.543,95.717
405,198.248,83.585,114.663
407,197.957,82.922,115.035
409,203.713,72.17,131.543
411,175.066,88.072,86.994
413,203.213,77.444,125.769
415,155.386,72.304,83.082
417,144.76,83.346,61.414
419,169.056,78.241,90.815
421,172.717,78.631,94.086
423,142.32,80.212,62.108
425,157.041,77.296,79.745
427,149.133,79.42,69.713
429,178.022,88.038,89.984
431,159.224,77.367,81.857
433,135.443,85.095,50.348
435,139.726,86.988,52.738
437,154.088,85.733,68.355
439,163.987,80.17,83.817
441,197.736,89.349,108.387
443,256.469,89.843,166.626
445,130.607,84.962,45.645
447,153.54,97.979,55.561
449,188.783,107.015,81.768
451,242.703,126.37,116.333
453,227.716,94.85,132.866
455,237.191,97.635,139.556
457,192.819,129.56,63.259
459,232.088,106.408,125.68
461,182.582,79.144,103.438
463,305.172,98.068,207.104
465,189.023,122.462,66.561
467,283.281,102.355,180.926
469,274.494,109.952,164.542
471,213.821,127.893,85.928
473,196.248,109.988,86.26
475,226.26,115.213,111.047
477,251.558,113.628,137.93
479,181.978,109.55,72.428
481,213.809,110.014,103.795
483,221.933,108.317,113.616
485,221.762,104.167,117.595
487,229.756,105.506,124.25
489,213.108,132.016,81.092
491,278.291,119.693,158.598
493,173.487,99.764,73.723
495,215.512,133.503,82.009
497,426.827,137.704,289.123
499,259.675,153.608,106.067
501,344.89,122.506,222.384
503,221.177,123.484,97.693
505,390.426,130.383,260.043
507,230.459,99.746,130.713
509,343.811,126.76,217.051
511,272.793,130.481,142.312
513,278.305,134.566,143.739
515,397.61,110.196,287.414
517,192.522,132.048,60.474
519,254.733,128.079,126.654
521,309.733,113.253,196.48
523,219.685,131.729,87.956
525,225.75,109.682,116.068
527,315.352,108.808,206.544
529,466.22,109.016,357.204
531,258.995,123.356,135.639
533,255.694,120.292,135.402
535,298.826,95.087,203.739
537,335.535,127.91,207.625
539,233.151,135.559,97.592
541,388.067,115.171,272.896
543,234.024,111.79,122.234
545,305.451,123.68,181.771
547,235.219,145.67,89.549
549,478.8,137.437,341.363
551,330.362,135.551,194.811
553,270.624,138.005,132.619
555,456.395,134.218,322.177
557,312.572,157.859,154.713
559,235.353,134.736,100.617
561,177.188,133.473,43.715
563,426.305,152.431,273.874
565,264.321,135.455,128.866
567,264.475,141.311,123.164
569,395.217,122.444,272.773
571,368.726,135.904,232.822
573,357.507,131.688,225.819
575,299.93,144.558,155.372
577,348.425,142.617,205.808
579,320.023,139.603,180.42
581,555.979,145.826,410.153
583,645.528,153.596,491.932
585,322.046,142.66,179.386
587,235.377,150.164,85.213
589,194.154,139.765,54.389
591,195.377,142.047,53.33
593,194.296,135.026,59.27
595,203.733,130.338,73.395
597,201.072,142.147,58.925
599,201.96,162.787,39.173
601,201.754,141.939,59.815
603,203.439,166.288,37.151
605,202.931,157.756,45.175
607,198.94,157.287,41.653
609,197.522,140.268,57.254
611,204.516,159.953,44.563
613,202.461,166.541,35.92
615,204.123,176.166,27.957
617,203.508,170.041,33.467
619,209.066,155.706,53.36
621,210.601,146.296,64.305
623,207.306,170.33,36.976
625,205.913,150.858,55.055
627,206.004,172.751,33.253
629,215.811,157.252,58.559
631,219.793,151.135,68.658
633,218.539,169.605,48.934
635,218.675,165.338,53.337
637,222.197,170.673,51.524
639,203.775,171.145,32.63
641,211.498,159.865,51.633
643,214.184,158.979,55.205
645,210.652,174.094,36.558
647,221.98,158.15,63.83
649,217.492,166.064,51.428
651,214.185,148.204,65.981
653,226.894,169.878,57.016
655,229.073,179.754,49.319
657,217.686,187.531,30.155
659,218.726,170.611,48.115
661,215.5,158.358,57.142
663,228.463,183.064,45.399
665,226.243,188.22,38.023
667,223.014,207.554,15.46
669,365.81,158.151,207.659
671,224.229,190.292,33.937
673,234.604,166.344,68.26
675,227.947,180.15,47.797
677,216.967,175.2,41.767
679,236.461,169.189,67.272
681,223.682,176.102,47.58
683,233.927,175.136,58.791
685,237.791,167.917,69.874
687,233.904,186.278,47.626
689,230.818,166.178,64.64
691,224.016,186.864,37.152
693,255.552,185.083,70.469
695,225.855,178.757,47.098
697,230.154,157.294,72.86
699,228.101,181.38,46.721
701,226.082,168.777,57.305
703,340.713,195.95,144.763
705,228.614,182.282,46.332
707,226.166,155.199,70.967
709,234.141,157.885,76.256
711,226.907,171.775,55.132
713,235.589,170.66,64.929
715,234.749,183.755,50.994
717,231.638,175.238,56.4
719,228.585,197.249,31.336
721,236.008,175.864,60.144
723,231.101,177.622,53.479
725,218.781,171.949,46.832
727,231.947,179.73,52.217
729,236.198,173.7,62.498
731,225.248,185.102,40.146
733,245.202,179.025,66.177
735,355.071,183.094,171.977
737,225.282,179.205,46.077
739,214.177,181.937,32.24
741,225.023,193.148,31.875
743,223.911,182.217,41.694
745,220.207,195.424,24.783
747,233.523,192.334,41.189
749,220.034,164.774,55.26
